AURIX TC26x B-Step, 2.5MB FLASH, 2 cores, HSM: no, EMEM: yes, CPU speed: 200.000000MHz
CoreId,CoreArch,PCache[KB],DCache[KB],PSPR[KB],DSPR[KB],LADDR
CPU1	1.6P	16	8	32	120	6
C_MODE,DCACHE,PCACHE,DSECS,DSEC,VECMATH,WORDS,EXEC,CLK,VAR_CLK[ticks],IST,VAR_IST,MCNT1,VAR_MCNT1,MCNT2,VAR_MCNT2,MCNT3,VAR_MCNT3
1,0,0,af000000,DFlash,VecPower,4096,30,516700.10,1172.59,49294.77,332.03,  0.00,  0.00,  0.00,  0.00,16403.20, 44.42
2,0,0,af000000,DFlash,VecPower,256,30,32656.06,591.23,3157.77,167.30,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecPower,512,30,65178.33,839.91,6304.03,235.71,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecPower,1024,30,129730.60,845.19,12458.57,236.72,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecPower,2048,30,258653.40,805.13,24718.10,224.22,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecPower,4096,30,516700.00,1171.99,49294.10,330.07,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
3,0,0,af000000,DFlash,VecPower,256,30,32656.20,591.61,3157.70,167.10,275.70, 35.10,6717.00,435.01,27942.73, 95.20
3,0,0,af000000,DFlash,VecPower,512,30,65174.80,833.52,6304.03,235.71,547.30, 49.49,13308.60,610.17,55889.07,134.26
3,0,0,af000000,DFlash,VecPower,1024,30,129673.10,795.31,12443.33,225.39,1058.83, 47.73,26094.97,580.67,111696.60,129.81
3,0,0,af000000,DFlash,VecPower,2048,30,258693.00,805.96,24730.00,226.85,2082.63, 48.40,51690.60,584.33,223312.00,132.38
3,0,0,af000000,DFlash,VecPower,4096,30,516744.10,1202.39,49306.00,337.02,4130.63, 71.27,102891.10,871.31,446543.80,193.50
0,0,0,af000000,DFlash,VecSqrt,256,30,14682.87,354.47,3122.57, 99.98,361.97, 21.36,748.07, 15.44,  0.00,  0.00
0,0,0,af000000,DFlash,VecSqrt,512,30,27359.33,595.55,5719.70,167.10,497.97, 35.90,1393.60, 25.16,  0.00,  0.00
0,0,0,af000000,DFlash,VecSqrt,1024,30,52584.47,751.11,10876.90,207.73,761.90, 44.50,2679.27, 31.39,  0.00,  0.00
0,0,0,af000000,DFlash,VecSqrt,2048,30,102942.90,847.90,21168.57,237.57,1285.40, 51.14,5248.07, 36.28,  0.00,  0.00
0,0,0,af000000,DFlash,VecSqrt,4096,30,258483.70,792.24,58000.77,220.97,9470.23, 47.22,13433.23, 32.82,  0.00,  0.00
1,0,0,af000000,DFlash,VecSqrt,256,30,14683.20,356.26,3122.57, 99.98,  0.00,  0.00,  0.00,  0.00,552.53, 13.64
